time,node,"idleness,t_imp"
0.1,0,0.0,3.9
0.1,1,0.0,0.0
0.1,2,0.1,0.0
0.1,3,0.0,0.0
0.1,4,0.0,3.9
0.1,5,0.1,0.0
0.1,6,0.1,0.0
0.1,7,0.1,0.0
0.1,8,0.1,0.0
0.1,9,0.1,0.0
0.1,10,0.1,0.0
0.1,11,0.1,0.0
0.1,12,0.1,0.0
0.1,13,0.1,0.0
0.1,14,0.1,0.0
0.1,15,0.0,0.0
0.1,16,0.1,0.0
0.1,17,0.1,0.0
0.1,18,0.1,0.0
0.1,19,0.0,0.0
0.1,20,0.0,3.9
0.1,21,0.1,0.0
0.1,22,0.1,0.0
0.1,23,0.1,0.0
0.1,24,0.0,3.9
0.2,0,0.1,3.9
0.2,1,0.1,0.0
0.2,2,0.2,0.0
0.2,3,0.1,0.0
0.2,4,0.1,3.9
0.2,5,0.2,0.0
0.2,6,0.2,0.0
0.2,7,0.2,0.0
0.2,8,0.2,0.0
0.2,9,0.2,0.0
0.2,10,0.2,0.0
0.2,11,0.2,0.0
0.2,12,0.2,0.0
0.2,13,0.2,0.0
0.2,14,0.2,0.0
0.2,15,0.1,0.0
0.2,16,0.2,0.0
0.2,17,0.2,0.0
0.2,18,0.2,0.0
0.2,19,0.1,0.0
0.2,20,0.1,3.9
0.2,21,0.2,0.0
0.2,22,0.2,0.0
0.2,23,0.2,0.0
0.2,24,0.1,3.9
0.30000000000000004,0,0.2,3.8
0.30000000000000004,1,0.2,0.0
0.30000000000000004,2,0.30000000000000004,0.0
0.30000000000000004,3,0.2,0.0
0.30000000000000004,4,0.2,3.8
0.30000000000000004,5,0.30000000000000004,0.0
0.30000000000000004,6,0.30000000000000004,0.0
0.30000000000000004,7,0.30000000000000004,0.0
0.30000000000000004,8,0.30000000000000004,0.0
0.30000000000000004,9,0.30000000000000004,0.0
0.30000000000000004,10,0.30000000000000004,0.0
0.30000000000000004,11,0.30000000000000004,0.0
0.30000000000000004,12,0.30000000000000004,0.0
0.30000000000000004,13,0.30000000000000004,0.0
0.30000000000000004,14,0.30000000000000004,0.0
0.30000000000000004,15,0.2,0.0
0.30000000000000004,16,0.30000000000000004,0.0
0.30000000000000004,17,0.30000000000000004,0.0
0.30000000000000004,18,0.30000000000000004,0.0
0.30000000000000004,19,0.2,0.0
0.30000000000000004,20,0.2,3.8
0.30000000000000004,21,0.30000000000000004,0.0
0.30000000000000004,22,0.30000000000000004,0.0
0.30000000000000004,23,0.30000000000000004,0.0
0.30000000000000004,24,0.2,3.8
0.4,0,0.30000000000000004,3.7
0.4,1,0.30000000000000004,0.0
0.4,2,0.4,0.0
0.4,3,0.30000000000000004,0.0
0.4,4,0.30000000000000004,3.7
0.4,5,0.4,0.0
0.4,6,0.4,0.0
0.4,7,0.4,0.0
0.4,8,0.4,0.0
0.4,9,0.4,0.0
0.4,10,0.4,0.0
0.4,11,0.4,0.0
0.4,12,0.4,0.0
0.4,13,0.4,0.0
0.4,14,0.4,0.0
0.4,15,0.30000000000000004,0.0
0.4,16,0.4,0.0
0.4,17,0.4,0.0
0.4,18,0.4,0.0
0.4,19,0.30000000000000004,0.0
0.4,20,0.30000000000000004,3.7
0.4,21,0.4,0.0
0.4,22,0.4,0.0
0.4,23,0.4,0.0
0.4,24,0.30000000000000004,3.7
0.5,0,0.4,3.6
0.5,1,0.4,0.0
0.5,2,0.5,0.0
0.5,3,0.4,0.0
0.5,4,0.4,3.6
0.5,5,0.5,0.0
0.5,6,0.5,0.0
0.5,7,0.5,0.0
0.5,8,0.5,0.0
0.5,9,0.5,0.0
0.5,10,0.5,0.0
